,base_asset,compare_asset,label
0,AACG,AAIC,0
40079,HSTO,PULM,0
40080,HSTO,QNRX,0
40081,HSTO,QUAD,0
40082,HSTO,QUIK,0
40083,HSTO,RAIL,0
40084,HSTO,RELV,0
40085,HSTO,RWLK,0
40086,HSTO,RYAM,0
40087,HSTO,SCOR,0
40088,HSTO,SELB,0
40089,HSTO,SHIP,0
40090,HSTO,SLNG,0
40091,HSTO,SLRX,0
40092,HSTO,SMLP,0
40093,HSTO,SPOK,0
40094,HSTO,STAF,0
40095,HSTO,SYBX,0
40096,HSTO,TEDU,0
40097,HSTO,TOUR,0
40098,HSTO,TPHS,0
40099,HSTO,TPST,0
40100,HSTO,TRUE,0
40101,HSTO,TXMD,0
40102,HSTO,TYME,0
40103,HSTO,USEG,0
40078,HSTO,PRTY,0
40104,HSTO,VIRX,0
40077,HSTO,PRSO,0
40075,HSTO,PBPB,0
40050,HSON,SAMG,0
40051,HSTO,HTGM,0
40052,HSTO,IDRA,0
40053,HSTO,IMUX,0
40054,HSTO,KDNY,0
40055,HSTO,KINS,0
40056,HSTO,KMPH,0
40057,HSTO,LGMK,0
40058,HSTO,LMNL,0
40059,HSTO,LTBR,0
40060,HSTO,LXRX,0
40061,HSTO,MBRX,0
40062,HSTO,MMLP,0
40063,HSTO,NAOV,0
40064,HSTO,NNBR,0
40065,HSTO,NNVC,0
40066,HSTO,NRBO,0
40067,HSTO,NVFY,0
40068,HSTO,NWPX,0
40069,HSTO,NXPL,0
40070,HSTO,OCGN,0
40071,HSTO,OCUP,0
40072,HSTO,ONVO,0
40073,HSTO,OPTT,0
40074,HSTO,OTLK,0
40076,HSTO,PBYI,0
40105,HSTO,VISL,0
40106,HSTO,VIVE,0
40107,HSTO,VJET,0
40138,HTGM,NERV,0
40139,HTGM,NEWP,0
40140,HTGM,NHTC,0
40141,HTGM,NVFY,0
40142,HTGM,NWPX,0
40143,HTGM,OCGN,0
40144,HTGM,ONVO,0
40145,HTGM,OPTT,0
40146,HTGM,OTLK,0
40147,HTGM,PALT,0
40148,HTGM,PATI,0
40149,HTGM,PBPB,0
40150,HTGM,PCYG,0
40151,HTGM,PESI,0
40152,HTGM,PGEN,0
40153,HTGM,PKOH,0
40154,HTGM,PMCB,0
40155,HTGM,POAI,0
40156,HTGM,PPBT,0
40157,HTGM,PRSO,0
40158,HTGM,PRTH,0
40159,HTGM,PRTY,0
40160,HTGM,QBAK,0
40161,HTGM,QNRX,0
40162,HTGM,QUAD,0
40137,HTGM,NAOV,0
40136,HTGM,MYSZ,0
40135,HTGM,MSVB,0
40134,HTGM,MMLP,0
40108,HSTO,VRDN,0
40109,HSTO,WATT,0
40110,HSTO,WHLM,0
40111,HSTO,WSTL,0
40112,HSTO,XBIO,0
40113,HSTO,XELA,0
40114,HSTO,XELB,0
40115,HSTO,XTNT,0
40116,HSTO,YTEN,0
40117,HTGM,IMUX,0
40118,HTGM,INDP,0
40119,HTGM,ISSC,0
40049,HSON,RENN,0
40120,HTGM,KEQU,0
40122,HTGM,KMPH,0
40123,HTGM,KTRA,0
40124,HTGM,LGMK,0
40125,HTGM,LINC,0
40126,HTGM,LMNR,0
40127,HTGM,LTBR,0
40128,HTGM,LXRX,0
40129,HTGM,MBRX,0
40130,HTGM,MDWD,0
40131,HTGM,MIGI,0
40132,HTGM,MIND,0
40133,HTGM,MITT,0
40121,HTGM,KINS,0
40163,HTGM,QUIK,0
40048,HSON,RELL,0
40046,HSON,PBHC,0
39962,HROW,NERV,0
39963,HROW,NETI,0
39964,HROW,NILE,0
39965,HROW,NNBR,0
39966,HROW,NOVN,0
39967,HROW,NRBO,0
39968,HROW,NVFY,0
39969,HROW,NWPX,0
39970,HROW,NXPL,0
39971,HROW,ONCS,0
39972,HROW,OSUR,0
39973,HROW,PBYI,0
39974,HROW,PMCB,0
39975,HROW,PPBT,0
39976,HROW,QBAK,0
39977,HROW,QNRX,0
39978,HROW,QUAD,0
39979,HROW,RGLS,0
39980,HROW,RLGT,0
39981,HROW,RMTI,0
39982,HROW,SHIP,0
39983,HROW,SONN,0
39984,HROW,SPOK,0
39985,HROW,STAF,0
39986,HROW,TAIT,0
39961,HROW,MDVL,0
39987,HROW,TARA,0
39960,HROW,MBRX,0
39958,HROW,LNDC,0
39933,HNRG,MEDS,0
39934,HNRG,NEWP,0
39935,HNRG,NISN,0
39936,HOFT,IDEX,0
39937,HOFT,ISUN,0
39938,HOFT,LGMK,0
39939,HOFT,MDWD,0
39940,HOFT,MICR,0
39941,HOFT,MICS,0
39942,HOFT,MOXC,0
39943,HOFT,MPAA,0
39944,HOFT,NXPL,0
39945,HOFT,OFED,0
39946,HOFT,ONCY,0
39947,HOFT,PLSE,0
39948,HOFT,RBBN,0
39949,HOFT,SANW,0
39950,HOFT,VJET,0
39951,HROW,HSDT,0
39952,HROW,HSTO,0
39953,HROW,HTGM,0
39954,HROW,IDRA,0
39955,HROW,IMUX,0
39956,HROW,ISSC,0
39957,HROW,KMPH,0
39959,HROW,LTRX,0
39988,HROW,TPHS,0
39989,HROW,TTOO,0
39990,HROW,TXMD,0
40021,HSDT,LNDC,0
40022,HSDT,MBRX,0
40023,HSDT,NVFY,0
40024,HSDT,PCSA,0
40025,HSDT,PPBT,0
40026,HSDT,QBAK,0
40027,HSDT,QUAD,0
40028,HSDT,QUIK,0
40029,HSDT,RAIL,0
40030,HSDT,RWLK,0
40031,HSDT,SCOR,0
40032,HSDT,SHIP,0
40033,HSDT,SMLP,0
